




"DOTA_Tooltip_ability_FellOmen_Bad_1"	"<font color=\"#f0ad4e\">第一噩相：奥尼克斯的剑魂</font><br>"
"DOTA_Tooltip_ability_FellOmen_Bad_1_Description"	"类型：增幅<br><br>说明：新生的野怪将提升一些基础攻击力。<br><br>值= 基础攻击力* (%bonus%+%bonus_stack%*Y)%%<br>Y =额外半相数（黑色数字）"
"DOTA_Tooltip_ability_FellOmen_Bad_1_Lore"	"被称为武之巅的大恶魔奥尼克斯掌握无数兵器的使用方法，有传言在他使用过的武器中寄宿着灵魂。"
"DOTA_Tooltip_ability_FellOmen_Bad_2"	"<font color=\"#f0ad4e\">第二噩相：焦土恶魔的热忱</font><br>"
"DOTA_Tooltip_ability_FellOmen_Bad_2_Lore"	"来自低于的火焰恶魔会将烈焰带往人间，焚烧所遇的一切。"
"DOTA_Tooltip_ability_FellOmen_Bad_2_Description"	"类型：增幅<br><br>说明：新生的野怪在处于白天下获得魔法抗性加成。（加成不会超过50%%）<br><br>值= (%bonus%+%bonus_stack%*Y)%%<br>Y =额外半相数（黑色数字）"
"DOTA_Tooltip_ability_FellOmen_Bad_3"	"<font color=\"#f0ad4e\">第三噩相：同族相食</font><br>"
"DOTA_Tooltip_ability_FellOmen_Bad_3_Lore"	"恶魔向往着强者，而最强的恶魔们往往吸收了无数同类的能量，据说位于顶端是被称为'十刃'的存在。"
"DOTA_Tooltip_ability_FellOmen_Bad_3_Description"	"类型：增幅<br><br>说明：新生的野怪死亡后被1500范围内的随机友军吞噬，自身的生命值，攻击力，防御力的一定百分比将被继承。<br><br>值= (%bonus%+%bonus_stack%*Y)%%<br>Y =额外半相数（黑色数字）"

"DOTA_Tooltip_ability_FellOmen_Bad_4"	"<font color=\"#f0ad4e\">第四噩相：嗜血恶魔的饥渴</font><br>"
"DOTA_Tooltip_ability_FellOmen_Bad_4_Description"	"类型：增幅<br><br>说明：新生的野怪攻击低生命值的敌人时获得攻击速度加成。<br><br>值= （1-目标生命值百分比）*(%bonus%+%bonus_stack%*Y)<br>Y =额外半相数（黑色数字）"
"DOTA_Tooltip_ability_FellOmen_Bad_4_Lore"	"那些最为残暴的生物往往是嗜血的恶魔，任何受伤的猎物都逃不过它们的追杀。"
"DOTA_Tooltip_ability_FellOmen_Bad_5"	"<font color=\"#f0ad4e\">第五噩相：脑虫女王的余音</font><br>"
"DOTA_Tooltip_ability_FellOmen_Bad_5_Description"	"类型：增幅<br><br>说明：新生的野怪在被击杀时将沉默且破坏加害者一段时间。（最多为3秒）<br><br>值= (%bonus%+%bonus_stack%*Y)<br>Y =额外半相数（黑色数字）"
"DOTA_Tooltip_ability_FellOmen_Bad_5_Lore"	"上古神话怪物的脑虫女王在死前发出的脑电波至今还某些区域中传播，并让那些可怜的生物效忠于早已不存在的自己。英雄们以为脑虫早已灭绝，然而在这片大陆上，脑虫家族尚在的证据缺接连被发现。"
"DOTA_Tooltip_ability_FellOmen_Bad_6"	"<font color=\"#f0ad4e\">第六噩相：死链</font><br>"
