




"DOTA_Tooltip_ability_FellOmen_Bad_1"	"<font color=\"#f0ad4e\">The 1st Fell Omen:the sword soul of Onyx</font><br>"
"DOTA_Tooltip_ability_FellOmen_Bad_1_Description"	"Type: Gain<br><br>Description: The creatures will add some attack damage.<br><br>Value= Base attack damage*(%bonus%+%bonus_stack%*Y)%%<br>Y =Additional half omen(The black numbers)"
"DOTA_Tooltip_ability_FellOmen_Bad_1_Lore"	"The great demon Onyx, known as the pinnacle of martial arts, has mastered the use of countless weapons, and it is rumored that there are spirits lodged in the weapons he has used."
"DOTA_Tooltip_ability_FellOmen_Bad_2"	"<font color=\"#f0ad4e\">The 2nd Fell Omen: Scorched Earth Demon's Zeal</font><br>"
"DOTA_Tooltip_ability_FellOmen_Bad_2_Lore"	"The demon of fire from hell will bring the flames to earth, burning everything in its path."
"DOTA_Tooltip_ability_FellOmen_Bad_2_Description"	"Type: Gain<br><br>Description: The creatures gain bonus magic resistance in daylight.(Max Value=50%%)<br><br>Value =  (%bonus%+%bonus_stack%*Y)%%<br>Y =Additional half omen(The black numbers)"
"DOTA_Tooltip_ability_FellOmen_Bad_3"	"<font color=\"#f0ad4e\">The 3rd Fell Omen:Eating the Same Race</font><br>"
"DOTA_Tooltip_ability_FellOmen_Bad_3_Lore"	"Demons yearn to be strong, and the strongest demons often absorb the energy of countless others, and are said to be at the top of the existence known as the 'Ten Blades'."
"DOTA_Tooltip_ability_FellOmen_Bad_3_Description"	"Type: Gain<br><br>Description: After the creatures dies, it will be consumed by random allies within 1500 . A certain percentage of its health, attack damage and aromor will be inherited.<br><br>Value =  (%bonus%+%bonus_stack%*Y)%%<br>Y =Additional half omen(The black numbers)"

"DOTA_Tooltip_ability_FellOmen_Bad_4"	"<font color=\"#f0ad4e\">The 4th Fell Omen: The thirst of bloodthirsty demons</font><br>"
