"DOTA_Tooltip_ability_item_hd_Harlequin_green_hat"	"哈勒昆之帽<font color=\"#777777\">-第五梯队</font>"
"DOTA_Tooltip_ability_item_hd_Harlequin_green_hat_Description"	"<h1>被动：损伤规避</h1>受到自然的祝福，当你受到来自队友的伤害时，可以在5秒后恢复这一部分损伤的50%%，视为对己治疗。<br><br><h1>被动：宠爱</h1><br>触发'损伤规避的同时使自身在20秒内获得3点力量提升，独立叠加，最大有效为100。<br><br>属性加成效果有0.2秒冷却"
"DOTA_Tooltip_ability_item_hd_Harlequin_green_hat_Lore"	"精灵王都的秘宝，据说只有被自然宠爱的人才能戴上这顶帽子。"
"DOTA_Tooltip_ability_item_hd_Harlequin_green_hat_Note0"	"额外的说明："
"DOTA_Tooltip_ability_item_hd_Harlequin_green_hat_bonus_str"	"+$str"
"DOTA_Tooltip_ability_item_hd_Harlequin_green_hat_bonus_health"	"+$health"

"DOTA_Tooltip_modifier_item_hd_Harlequin_green_hat_active"                   "损伤规避"
"DOTA_Tooltip_modifier_item_hd_Harlequin_green_hat_active_Description"       "延迟恢复生命值" 
"DOTA_Tooltip_modifier_item_hd_Harlequin_green_hat_active2"                   "宠爱"
"DOTA_Tooltip_modifier_item_hd_Harlequin_green_hat_active2_Description"       "赋予%dMODIFIER_PROPERTY_STATS_STRENGTH_BONUS%点力量加成" 





"DOTA_Tooltip_ability_item_hd_philosopher_stone"	"魔化贤者石<font color=\"#777777\">-第五梯队</font>"
"DOTA_Tooltip_ability_item_hd_philosopher_stone_Description"	"<h1>被动：代偿</h1>当你的魔法大于90%%时会将多余部分储存起来，最多可以储存你最大魔法10倍的魔力。当你的魔法低于50%%时会自动抽取储存的魔力，将你的魔力补充到50%%。"
"DOTA_Tooltip_ability_item_hd_philosopher_stone_Lore"	"贤者石是一种神奇的物质，在炼金术中可以使你免去'代价'。这种物质的获取方法是杀死龙类后，从他们的体内取出。原本人类可以自己制作但制作方法已经遗失，只能从龙骨十字中提取。"
"DOTA_Tooltip_ability_item_hd_philosopher_stone_Note0"	"额外的说明：<br>"
"DOTA_Tooltip_ability_item_hd_philosopher_stone_bonus_mana"	"%+$mana"
"DOTA_Tooltip_modifier_item_hd_philosopher_stone"                   "魔化贤者石"
"DOTA_Tooltip_modifier_item_hd_philosopher_stone_Description"       "储存%dMODIFIER_PROPERTY_TOOLTIP%魔法" 

"DOTA_Tooltip_ability_item_hd_eden_blacksmith"	"伊甸铁匠台<font color=\"#777777\">-第五梯队</font>"
"DOTA_Tooltip_ability_item_hd_eden_blacksmith_Description"	"<h1>被动：传奇锻造</h1>携带这件物品时，每回合结算时有17%%几率获得一个超级宝箱。"
"DOTA_Tooltip_ability_item_hd_eden_blacksmith_Lore"	"传说中的铁匠台，似乎可以用来打造什么厉害的东西。"
"DOTA_Tooltip_ability_item_hd_eden_blacksmith_Note0"	"额外的说明：<br>队友携带也有效果，获得的宝箱可以赠送。"
"DOTA_HUD_eden_blacksmith_platform_info"   "{s:player_name}利用<font color=\"#f0ad4e\">{s:locstring_value}</font>锻造了某件物品，并将其放置于<font color=\"#f0ad4e\">{s:locstring_value2}</font>中。"
"DOTA_HUD_eden_blacksmith_platform_info2"   "匠神拒绝了{s:player_name}，洗把脸吧。"


"DOTA_Tooltip_ability_item_hd_moirai_hat"	"莫伊莱之帽<font color=\"#777777\">-第五梯队</font>"
"DOTA_Tooltip_ability_item_hd_moirai_hat_Description"	"<h1>被动：命运之慧</h1>每%atb_spell_amp%点主属性可以提供%fake_kv%%%技能增强，至多%spell_amp_max%%%。"
"DOTA_Tooltip_ability_item_hd_moirai_hat_Lore"	"被命运三女神所祝福的帽子，可以令佩戴者拥有遇见短暂未来的能力。"
"DOTA_Tooltip_ability_item_hd_moirai_hat_bonus_spell_amp"	"%+$spell_amp"

"DOTA_Tooltip_ability_item_hd_book_of_death"	"撒旦之书<font color=\"#777777\">-第五梯队</font>"
"DOTA_Tooltip_ability_item_hd_book_of_death_Description"	"<h1>主动：召唤仪式</h1>献祭自身所有魔力与法力召唤出来自荒邪之域的恶魔，将继承你所献出的(HP+MP)总和的生命值，并获得该值10%%的攻击力与该值0.3%%的防御力，持续100秒。<br>\n<h1>被动：撒旦奴役术</h1>被你奴役的恶魔或死灵将获得35%%的伤害增强。"
"DOTA_Tooltip_ability_item_hd_book_of_death_Lore"	"撒旦所编著的一本禁书，里面记载着召唤出传说恶魔的仪式。"
"DOTA_Tooltip_ability_item_hd_book_of_death_Note0"	"额外的说明："
"DOTA_Tooltip_ability_item_hd_book_of_death_bonus_int"	"+$int"
"DOTA_Tooltip_ability_item_hd_book_of_death_bonus_str"	"+$str"
"DOTA_Tooltip_ability_item_hd_book_of_death_bonus_summon_intensity"	"%+$summon_intensity"
"DOTA_Tooltip_modifier_item_hd_book_of_death_active"                   "撒旦奴役术"
"DOTA_Tooltip_modifier_item_hd_book_of_death_active_Description"       "增加%dMODIFIER_PROPERTY_TOOLTIP%%%伤害" 


"DOTA_Tooltip_ability_creeps_spell_demon_power_terrorblade"	"恶魔之力"
"DOTA_Tooltip_ability_creeps_spell_demon_power_terrorblade_Description"	"攻击速度获得30%%提升。"
"DOTA_Tooltip_ability_creeps_spell_demon_power_terrorblade_Lore"	"恶魔的血统将会极大的提升生物的肉体能力。"


"DOTA_Tooltip_ability_item_hd_ancient_gemstone"	"古代孔雀宝石<font color=\"#777777\">-第五梯队</font>"
"DOTA_Tooltip_ability_item_hd_ancient_gemstone_Description"	"<h1>主动：魔力释放</h1><br>对一名敌人释放在宝石中的魔法能量，可以一瞬间对其造成智力*20+4000的伤害，拥有穿透属性，可以忽略目标的指向性技能吸收。<br>\n<h1>被动：魔力回收</h1><br>如果释放的魔法能量击杀了目标，永久提升自身3%%的技能伤害，但最多60%%。"
"DOTA_Tooltip_ability_item_hd_ancient_gemstone_Lore"	"在沉没宝库深处被发掘的神秘石块。石头的表面布满了神秘的蚀刻，散发出微弱的蓝光。"
"DOTA_Tooltip_ability_item_hd_ancient_gemstone_Note0"	"额外的说明：<br>即使失去道具，也不会丢失技能伤害效果。"
"DOTA_Tooltip_ability_item_hd_ancient_gemstone_bonus_int"	"+$int"
"DOTA_Tooltip_modifier_item_hd_ancient_gemstone_buff"                   "魔力回收"
"DOTA_Tooltip_modifier_item_hd_ancient_gemstone_buff_Description"       "增加%dMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%技能伤害" 


"DOTA_Tooltip_ability_item_hd_slark_double_blades"	"海牢双刀<font color=\"#777777\">-第五梯队</font>"
"DOTA_Tooltip_ability_item_hd_slark_double_blades_Description"	"<h1>被动：能量转移</h1>每次攻击可以从目标身上吸收2点临时攻击力，独立叠加持续30秒，单个目标最多会被吸收100点攻击力，总吸收有效值不会超过400。"
"DOTA_Tooltip_ability_item_hd_slark_double_blades_Lore"	"斯拉克使用过的武器，多年前，这对武器在一场战斗中丢失了，后来被发现于一只大海怪的肚子中。这对武器中还保留着其曾经主人的气息，有着某种特殊的能力。"
"DOTA_Tooltip_ability_item_hd_slark_double_blades_bonus_agi"	"+$agi"



"DOTA_Tooltip_modifier_item_hd_slark_double_blades_buff"                   "能量转移"
"DOTA_Tooltip_modifier_item_hd_slark_double_blades_buff_Description"       "增加%dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE%点攻击力" 
"DOTA_Tooltip_modifier_item_hd_slark_double_blades_debuff"                   "能量转移"
"DOTA_Tooltip_modifier_item_hd_slark_double_blades_debuff_Description"       "减少%dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE%点攻击力" 




// "DOTA_Tooltip_ability_item_hd_replica_of_venom"	"毒液的复制品"
