//冰河纪元
"DOTA_Tooltip_ability_chaotic_ice_age"	"冰河纪元"
"DOTA_Tooltip_ability_chaotic_ice_age_Description"	"释放超古代文明记载中的冰河符文，使大地短暂回归大冰期，通过持续消耗魔法对自身周围%radius%范围内的敌人造成冰属性伤害，如果敌人因伤害死亡则会恢复少量魔法值。<br><br>冰河纪元也会施加等同伤害面板一半的<font color='#87ceeb'>冻伤</font>效果。"
"DOTA_Tooltip_ability_chaotic_ice_age_Lore"	"我们在此祈愿：世界将回归纯净的洁白，洁白的纯净。"
"DOTA_Tooltip_ability_chaotic_ice_age_damage"	"基础伤害："
"DOTA_Tooltip_ability_chaotic_ice_age_bonus_damage"	"额外伤害：主属性 ×"
"DOTA_Tooltip_ability_chaotic_ice_age_duration"	"持续时间："
"DOTA_Tooltip_ability_chaotic_ice_age_interval"	"生效间隔："
"DOTA_Tooltip_ability_chaotic_ice_age_mana_cost"	"%魔法消耗："
"DOTA_Tooltip_ability_chaotic_ice_age_mana_get"	"%魔法恢复："
"DOTA_Tooltip_ability_chaotic_ice_age_rune_1"              "不朽Ⅰ：异化风暴"
"DOTA_Tooltip_ability_chaotic_ice_age_rune_1_Description"  "魔法消耗增加%rune_1_mana_cost%%% [+]并转变为当前魔法值消耗。敌人死于冰河纪元时，恢复的魔法值提高%rune_1_mana_get%%% [×]且延长%rune_1_duration%秒冰河纪元的持续时间。此外，冰河纪元被视为冰、暗属性伤害。"
"DOTA_Tooltip_ability_chaotic_ice_age_rune_2"              "不朽Ⅱ：冰河之主的从容"
"DOTA_Tooltip_ability_chaotic_ice_age_rune_2_Description"  "若持有<font color='#9370db'>冰风暴</font>，则在每轮冰河纪元生效时有%rune_2_chance%%%几率在自身位置释放一次免费的冰风暴；<br>若未持有<font color='#9370db'>冰风暴</font>，则会在冰河纪元击杀敌人时返还自身%rune_2_cooldown_self%秒冷却时间"
"DOTA_Tooltip_ability_chaotic_ice_age_rune_3"              "不朽Ⅲ：寒冰血脉"
"DOTA_Tooltip_ability_chaotic_ice_age_rune_3_Description"  "冰河纪元不再需要初始魔法值且每秒魔法值消耗总降%rune_3_mana%%% [×]，对<font color='#87ceeb'>冰冻</font>敌人造成的伤害总增%rune_3_index%%% [×]"
"DOTA_Tooltip_modifier_chaotic_ice_age" "冰河纪元"

//天碍震星
"DOTA_Tooltip_ability_chaotic_sky_fire"	"天碍震星"
"DOTA_Tooltip_ability_chaotic_sky_fire_Description"	"<font color='#E6E6FA'>消耗剩余全部魔法使伤害提高</font>，从天空中连续召唤两枚带来毁灭的陨石，陨石落地后会造成一次火属性伤害，第二颗陨石的伤害和范围更大，随后两颗陨石在地面爆炸破碎，造成陨石伤害一定倍率的火属性伤害。"
"DOTA_Tooltip_ability_chaotic_sky_fire_Lore"	"我们在此祈愿：世界将回归纯净的洁白，洁白的纯净。"
"DOTA_Tooltip_ability_chaotic_sky_fire_mp_index"	"%每100点消耗魔法值提高陨石伤害："
"DOTA_Tooltip_ability_chaotic_sky_fire_index"	"%第二颗陨石倍率："
"DOTA_Tooltip_ability_chaotic_sky_fire_radius"	"陨石范围："
